#    time      flux     flux_err 
    3.58890   0.99992   0.00010 
    3.58898   0.99995   0.00012 
    3.58906   1.00011   0.00008 
    3.58914   1.00010   0.00009 
    3.58922   0.99999   0.00011 
    3.58930   1.00008   0.00011 
    3.58938   0.99990   0.00008 
    3.58946   0.99992   0.00008 
    3.58954   0.99970   0.00011 
    3.58962   1.00010   0.00012 
    3.58970   0.99991   0.00009 
    3.58978   0.99994   0.00008 
    3.58986   0.99995   0.00012 
    3.58994   0.99997   0.00008 
    3.59002   0.99995   0.00009 
    3.59010   1.00010   0.00012 
    3.59018   1.00013   0.00008 
    3.59026   0.99987   0.00011 
    3.59034   0.99985   0.00010 
    3.59042   0.99989   0.00012 
    3.59050   0.99991   0.00008 
    3.59058   0.99995   0.00010 
    3.59066   0.99991   0.00008 
    3.59074   1.00002   0.00010 
    3.59082   0.99988   0.00011 
    3.59090   0.99994   0.00010 
    3.59098   1.00005   0.00010 
    3.59106   0.99992   0.00011 
    3.59114   1.00005   0.00012 
    3.59122   0.99985   0.00011 
    3.59130   0.99997   0.00009 
    3.59138   1.00009   0.00009 
    3.59146   1.00004   0.00008 
    3.59154   0.99995   0.00011 
    3.59162   0.99996   0.00010 
    3.59170   1.00006   0.00011 
    3.59178   0.99998   0.00008 
    3.59186   0.99997   0.00011 
    3.59194   1.00012   0.00008 
    3.59202   0.99998   0.00009 
    3.59210   1.00012   0.00008 
    3.59218   0.99992   0.00009 
    3.59226   1.00010   0.00010 
    3.59234   1.00009   0.00008 
    3.59242   1.00001   0.00008 
    3.59251   1.00011   0.00008 
    3.59259   1.00001   0.00011 
    3.59267   0.99985   0.00011 
    3.59275   1.00009   0.00011 
    3.59283   1.00012   0.00011 
    3.59291   0.99987   0.00009 
    3.59299   0.99992   0.00008 
    3.59307   1.00011   0.00011 
    3.59315   0.99994   0.00008 
    3.59323   1.00005   0.00008 
    3.59331   0.99994   0.00011 
    3.59339   1.00015   0.00008 
    3.59347   1.00020   0.00009 
    3.59355   1.00008   0.00010 
    3.59363   1.00004   0.00012 
    3.59371   0.99996   0.00008 
    3.59379   1.00000   0.00009 
    3.59387   1.00009   0.00009 
    3.59395   1.00000   0.00012 
    3.59403   0.99999   0.00011 
    3.59411   1.00007   0.00012 
    3.59419   1.00003   0.00010 
    3.59427   1.00013   0.00011 
    3.59435   1.00014   0.00009 
    3.59443   1.00012   0.00009 
    3.59451   0.99983   0.00009 
    3.59459   0.99981   0.00008 
    3.59467   0.99996   0.00012 
    3.59475   0.99995   0.00012 
    3.59483   1.00000   0.00012 
    3.59491   1.00002   0.00009 
    3.59499   1.00018   0.00012 
    3.59507   0.99986   0.00008 
    3.59515   0.99999   0.00010 
    3.59523   0.99987   0.00008 
    3.59531   1.00012   0.00009 
    3.59539   0.99985   0.00010 
    3.59547   1.00004   0.00012 
    3.59555   0.99989   0.00012 
    3.59563   1.00000   0.00009 
    3.59571   1.00001   0.00008 
    3.59579   0.99986   0.00012 
    3.59587   0.99999   0.00012 
    3.59595   0.99996   0.00010 
    3.59603   0.99999   0.00008 
    3.59611   0.99993   0.00009 
    3.59619   0.99982   0.00010 
    3.59627   1.00014   0.00008 
    3.59635   1.00016   0.00010 
    3.59643   1.00011   0.00009 
    3.59651   1.00012   0.00008 
    3.59659   0.99991   0.00010 
    3.59667   0.99999   0.00008 
    3.59675   0.99996   0.00012 
    3.59683   0.99996   0.00010 
    3.59691   0.99993   0.00008 
    3.59699   0.99985   0.00009 
    3.59707   1.00007   0.00011 
    3.59715   1.00002   0.00008 
    3.59723   0.99994   0.00010 
    3.59731   0.99983   0.00010 
    3.59739   1.00019   0.00008 
    3.59747   0.99997   0.00012 
    3.59756   0.99983   0.00011 
    3.59764   0.99998   0.00008 
    3.59772   1.00014   0.00008 
    3.59780   1.00000   0.00011 
    3.59788   0.99999   0.00008 
    3.59796   1.00013   0.00011 
    3.59804   0.99999   0.00011 
    3.59812   1.00002   0.00011 
    3.59820   1.00012   0.00008 
    3.59828   0.99995   0.00008 
    3.59836   1.00006   0.00009 
    3.59844   0.99981   0.00009 
    3.59852   1.00012   0.00009 
    3.59860   0.99978   0.00010 
    3.59868   0.99999   0.00008 
    3.59876   1.00003   0.00010 
    3.59884   1.00013   0.00011 
    3.59892   1.00002   0.00012 
    3.59900   0.99997   0.00010 
    3.59908   1.00005   0.00012 
    3.59916   0.99983   0.00011 
    3.59924   1.00005   0.00010 
    3.59932   0.99990   0.00011 
    3.59940   1.00012   0.00011 
    3.59948   1.00022   0.00011 
    3.59956   1.00022   0.00011 
    3.59964   0.99998   0.00011 
    3.59972   1.00010   0.00008 
    3.59980   1.00000   0.00009 
    3.59988   1.00009   0.00010 
    3.59996   0.99998   0.00011 
    3.60004   0.99974   0.00010 
    3.60012   0.99996   0.00008 
    3.60020   0.99997   0.00010 
    3.60028   0.99987   0.00008 
    3.60036   0.99989   0.00012 
    3.60044   1.00003   0.00012 
    3.60052   1.00002   0.00011 
    3.60060   1.00002   0.00009 
    3.60068   1.00010   0.00009 
    3.60076   0.99991   0.00009 
    3.60084   1.00011   0.00010 
    3.60092   0.99978   0.00010 
    3.60100   1.00001   0.00009 
    3.60108   0.99989   0.00008 
    3.60116   1.00002   0.00011 
    3.60124   1.00000   0.00011 
    3.60132   1.00002   0.00011 
    3.60140   1.00000   0.00012 
    3.60148   1.00009   0.00009 
    3.60156   0.99986   0.00009 
    3.60164   0.99985   0.00012 
    3.60172   1.00008   0.00010 
    3.60180   0.99986   0.00009 
    3.60188   0.99982   0.00008 
    3.60196   1.00007   0.00012 
    3.60204   0.99997   0.00011 
    3.60212   0.99993   0.00009 
    3.60220   0.99996   0.00012 
    3.60228   1.00014   0.00012 
    3.60236   0.99993   0.00009 
    3.60244   0.99998   0.00008 
    3.60253   1.00008   0.00011 
    3.60261   1.00001   0.00011 
    3.60269   1.00002   0.00008 
    3.60277   1.00001   0.00010 
    3.60285   0.99981   0.00012 
    3.60293   0.99991   0.00009 
    3.60301   0.99996   0.00012 
    3.60309   1.00013   0.00011 
    3.60317   0.99984   0.00009 
    3.60325   0.99991   0.00009 
    3.60333   1.00001   0.00008 
    3.60341   0.99994   0.00009 
    3.60349   1.00008   0.00008 
    3.60357   0.99992   0.00008 
    3.60365   1.00001   0.00011 
    3.60373   1.00006   0.00010 
    3.60381   0.99997   0.00011 
    3.60389   0.99998   0.00010 
    3.60397   1.00030   0.00011 
    3.60405   0.99995   0.00010 
    3.60413   0.99985   0.00011 
    3.60421   1.00005   0.00012 
    3.60429   0.99993   0.00010 
    3.60437   0.99989   0.00011 
    3.60445   1.00008   0.00008 
    3.60453   1.00004   0.00009 
    3.60461   1.00010   0.00010 
    3.60469   1.00003   0.00010 
    3.60477   0.99991   0.00008 
    3.60485   1.00008   0.00011 
    3.60493   1.00014   0.00008 
    3.60501   0.99985   0.00011 
    3.60509   1.00007   0.00008 
    3.60517   1.00004   0.00011 
    3.60525   0.99991   0.00008 
    3.60533   1.00010   0.00009 
    3.60541   1.00009   0.00008 
    3.60549   1.00014   0.00008 
    3.60557   1.00012   0.00010 
    3.60565   0.99984   0.00012 
    3.60573   1.00003   0.00011 
    3.60581   0.99993   0.00011 
    3.60589   0.99993   0.00009 
    3.60597   1.00003   0.00009 
    3.60605   0.99994   0.00009 
    3.60613   1.00003   0.00010 
    3.60621   1.00019   0.00011 
    3.60629   0.99996   0.00012 
    3.60637   1.00012   0.00012 
    3.60645   1.00001   0.00012 
    3.60653   0.99992   0.00010 
    3.60661   1.00005   0.00008 
    3.60669   1.00007   0.00008 
    3.60677   0.99984   0.00011 
    3.60685   1.00007   0.00011 
    3.60693   1.00011   0.00009 
    3.60701   1.00006   0.00009 
    3.60709   0.99998   0.00012 
    3.60717   0.99996   0.00011 
    3.60725   0.99996   0.00008 
    3.60733   0.99988   0.00011 
    3.60741   1.00000   0.00008 
    3.60749   1.00005   0.00009 
    3.60758   0.99988   0.00011 
    3.60766   1.00024   0.00009 
    3.60774   0.99998   0.00008 
    3.60782   1.00006   0.00009 
    3.60790   1.00023   0.00011 
    3.60798   1.00015   0.00011 
    3.60806   0.99989   0.00010 
    3.60814   1.00001   0.00012 
    3.60822   1.00001   0.00009 
    3.60830   0.99993   0.00011 
    3.60838   1.00007   0.00012 
    3.60846   1.00020   0.00009 
    3.60854   0.99995   0.00012 
    3.60862   1.00005   0.00009 
    3.60870   0.99981   0.00010 
    3.60878   1.00010   0.00009 
    3.60886   0.99994   0.00010 
    3.60894   0.99999   0.00011 
    3.60902   0.99989   0.00010 
    3.60910   0.99998   0.00010 
    3.60918   1.00016   0.00012 
    3.60926   1.00010   0.00011 
    3.60934   1.00007   0.00009 
    3.60942   1.00005   0.00012 
    3.60950   0.99999   0.00012 
    3.60958   0.99997   0.00012 
    3.60966   0.99983   0.00008 
    3.60974   0.99997   0.00010 
    3.60982   0.99986   0.00011 
    3.60990   1.00007   0.00009 
    3.60998   0.99983   0.00009 
    3.61006   0.99988   0.00012 
    3.61014   0.99998   0.00012 
    3.61022   1.00013   0.00010 
    3.61030   0.99989   0.00011 
    3.61038   0.99989   0.00011 
    3.61046   1.00011   0.00011 
    3.61054   0.99995   0.00011 
    3.61062   1.00013   0.00009 
    3.61070   0.99982   0.00009 
    3.61078   1.00001   0.00012 
    3.61086   0.99996   0.00009 
    3.61094   0.99994   0.00012 
    3.61102   1.00007   0.00010 
    3.61110   0.99994   0.00011 
    3.61118   0.99993   0.00011 
    3.61126   1.00004   0.00012 
    3.61134   0.99996   0.00008 
    3.61142   0.99986   0.00011 
    3.61150   1.00009   0.00008 
    3.61158   1.00007   0.00012 
    3.61166   0.99999   0.00008 
    3.61174   1.00011   0.00012 
    3.61182   1.00014   0.00010 
    3.61190   1.00011   0.00008 
    3.61198   1.00011   0.00009 
    3.61206   1.00009   0.00011 
    3.61214   0.99997   0.00009 
    3.61222   0.99981   0.00008 
    3.61230   0.99997   0.00008 
    3.61238   1.00008   0.00011 
    3.61246   1.00024   0.00011 
    3.61255   1.00000   0.00011 
    3.61263   0.99995   0.00008 
    3.61271   1.00000   0.00011 
    3.61279   1.00005   0.00012 
    3.61287   1.00010   0.00012 
    3.61295   1.00016   0.00012 
    3.61303   1.00003   0.00010 
    3.61311   1.00009   0.00008 
    3.61319   1.00012   0.00009 
    3.61327   1.00003   0.00011 
    3.61335   0.99996   0.00012 
    3.61343   1.00013   0.00011 
    3.61351   0.99990   0.00012 
    3.61359   0.99993   0.00010 
    3.61367   1.00001   0.00012 
    3.61375   0.99997   0.00011 
    3.61383   0.99990   0.00010 
    3.61391   0.99994   0.00012 
    3.61399   1.00011   0.00008 
    3.61407   0.99995   0.00012 
    3.61415   0.99999   0.00009 
    3.61423   0.99995   0.00009 
    3.61431   0.99984   0.00009 
    3.61439   0.99997   0.00012 
    3.61447   0.99997   0.00010 
    3.61455   1.00006   0.00011 
    3.61463   1.00010   0.00011 
    3.61471   0.99994   0.00008 
    3.61479   0.99989   0.00008 
    3.61487   0.99996   0.00012 
    3.61495   1.00014   0.00012 
    3.61503   0.99992   0.00011 
    3.61511   1.00001   0.00010 
    3.61519   1.00011   0.00011 
    3.61527   1.00001   0.00011 
    3.61535   1.00001   0.00010 
    3.61543   1.00013   0.00010 
    3.61551   0.99998   0.00009 
    3.61559   0.99999   0.00011 
    3.61567   1.00007   0.00012 
    3.61575   0.99999   0.00010 
    3.61583   0.99995   0.00008 
    3.61591   0.99989   0.00012 
    3.61599   0.99998   0.00009 
    3.61607   0.99998   0.00012 
    3.61615   1.00000   0.00012 
    3.61623   1.00002   0.00011 
    3.61631   0.99991   0.00012 
    3.61639   0.99988   0.00010 
    3.61647   0.99994   0.00012 
    3.61655   1.00011   0.00008 
    3.61663   1.00005   0.00009 
    3.61671   1.00009   0.00009 
    3.61679   0.99976   0.00012 
    3.61687   0.99994   0.00009 
    3.61695   0.99996   0.00011 
    3.61703   1.00004   0.00009 
    3.61711   1.00008   0.00010 
    3.61719   0.99986   0.00009 
    3.61727   1.00006   0.00012 
    3.61735   1.00008   0.00012 
    3.61743   0.99994   0.00012 
    3.61752   0.99999   0.00011 
    3.61760   0.99992   0.00009 
    3.61768   1.00005   0.00008 
    3.61776   0.99982   0.00008 
    3.61784   0.99993   0.00010 
    3.61792   0.99998   0.00010 
    3.61800   1.00003   0.00010 
    3.61808   0.99993   0.00012 
    3.61816   1.00003   0.00012 
    3.61824   0.99989   0.00008 
    3.61832   0.99982   0.00011 
    3.61840   1.00003   0.00010 
    3.61848   0.99982   0.00010 
    3.61856   0.99997   0.00008 
    3.61864   0.99995   0.00010 
    3.61872   0.99998   0.00012 
    3.61880   0.99980   0.00008 
    3.61888   0.99999   0.00011 
    3.61896   0.99993   0.00008 
    3.61904   1.00008   0.00008 
    3.61912   0.99999   0.00010 
    3.61920   1.00009   0.00011 
    3.61928   0.99995   0.00010 
    3.61936   0.99995   0.00011 
    3.61944   0.99990   0.00008 
    3.61952   1.00007   0.00011 
    3.61960   1.00006   0.00012 
    3.61968   1.00015   0.00011 
    3.61976   1.00007   0.00011 
    3.61984   0.99995   0.00012 
    3.61992   0.99994   0.00010 
    3.62000   0.99992   0.00012 
    3.65200   0.99370   0.00012 
    3.65210   0.99361   0.00010 
    3.65219   0.99379   0.00012 
    3.65229   0.99363   0.00012 
    3.65238   0.99372   0.00009 
    3.65248   0.99370   0.00011 
    3.65258   0.99383   0.00009 
    3.65267   0.99363   0.00011 
    3.65277   0.99355   0.00009 
    3.65287   0.99373   0.00010 
    3.65296   0.99351   0.00009 
    3.65306   0.99378   0.00012 
    3.65315   0.99362   0.00008 
    3.65325   0.99368   0.00008 
    3.65335   0.99384   0.00008 
    3.65344   0.99366   0.00008 
    3.65354   0.99358   0.00010 
    3.65364   0.99366   0.00011 
    3.65373   0.99356   0.00011 
    3.65383   0.99367   0.00011 
    3.65392   0.99364   0.00011 
    3.65402   0.99370   0.00011 
    3.65412   0.99365   0.00009 
    3.65421   0.99365   0.00011 
    3.65431   0.99357   0.00008 
    3.65440   0.99378   0.00008 
    3.65450   0.99364   0.00011 
    3.65460   0.99366   0.00008 
    3.65469   0.99366   0.00010 
    3.65479   0.99352   0.00008 
    3.65489   0.99376   0.00008 
    3.65498   0.99364   0.00008 
    3.65508   0.99367   0.00012 
    3.65517   0.99354   0.00009 
    3.65527   0.99357   0.00009 
    3.65537   0.99375   0.00011 
    3.65546   0.99348   0.00008 
    3.65556   0.99365   0.00010 
    3.65566   0.99349   0.00010 
    3.65575   0.99360   0.00011 
    3.65585   0.99362   0.00010 
    3.65594   0.99334   0.00011 
    3.65604   0.99361   0.00008 
    3.65614   0.99363   0.00010 
    3.65623   0.99355   0.00010 
    3.65633   0.99339   0.00010 
    3.65642   0.99362   0.00012 
    3.65652   0.99352   0.00011 
    3.65662   0.99362   0.00012 
    3.65671   0.99369   0.00010 
    3.65681   0.99368   0.00012 
    3.65691   0.99347   0.00012 
    3.65700   0.99371   0.00011 
    3.65710   0.99353   0.00012 
    3.65719   0.99370   0.00009 
    3.65729   0.99350   0.00008 
    3.65739   0.99344   0.00010 
    3.65748   0.99341   0.00012 
    3.65758   0.99351   0.00011 
    3.65768   0.99341   0.00008 
    3.65777   0.99327   0.00011 
    3.65787   0.99334   0.00011 
    3.65796   0.99352   0.00010 
    3.65806   0.99356   0.00008 
    3.65816   0.99352   0.00008 
    3.65825   0.99339   0.00009 
    3.65835   0.99346   0.00010 
    3.65844   0.99350   0.00011 
    3.65854   0.99356   0.00012 
    3.65864   0.99330   0.00008 
    3.65873   0.99366   0.00008 
    3.65883   0.99348   0.00009 
    3.65893   0.99365   0.00010 
    3.65902   0.99351   0.00009 
    3.65912   0.99350   0.00010 
    3.65921   0.99331   0.00011 
    3.65931   0.99338   0.00008 
    3.65941   0.99335   0.00009 
    3.65950   0.99350   0.00008 
    3.65960   0.99344   0.00009 
    3.65970   0.99349   0.00009 
    3.65979   0.99353   0.00012 
    3.65989   0.99347   0.00009 
    3.65998   0.99348   0.00009 
    3.66008   0.99322   0.00009 
    3.66018   0.99339   0.00008 
    3.66027   0.99339   0.00008 
    3.66037   0.99326   0.00012 
    3.66046   0.99339   0.00012 
    3.66056   0.99347   0.00010 
    3.66066   0.99355   0.00011 
    3.66075   0.99333   0.00010 
    3.66085   0.99347   0.00008 
    3.66095   0.99357   0.00008 
    3.66104   0.99335   0.00010 
    3.66114   0.99351   0.00009 
    3.66123   0.99329   0.00008 
    3.66133   0.99339   0.00011 
    3.66143   0.99339   0.00008 
    3.66152   0.99332   0.00011 
    3.66162   0.99337   0.00011 
    3.66172   0.99350   0.00011 
    3.66181   0.99336   0.00009 
    3.66191   0.99347   0.00012 
    3.66200   0.99343   0.00010 
    3.66210   0.99353   0.00008 
    3.66220   0.99324   0.00010 
    3.66229   0.99332   0.00012 
    3.66239   0.99337   0.00010 
    3.66248   0.99346   0.00011 
    3.66258   0.99332   0.00008 
    3.66268   0.99325   0.00011 
    3.66277   0.99337   0.00009 
    3.66287   0.99332   0.00009 
    3.66297   0.99340   0.00008 
    3.66306   0.99343   0.00008 
    3.66316   0.99318   0.00009 
    3.66325   0.99329   0.00009 
    3.66335   0.99344   0.00009 
    3.66345   0.99318   0.00011 
    3.66354   0.99340   0.00008 
    3.66364   0.99337   0.00009 
    3.66374   0.99345   0.00010 
    3.66383   0.99336   0.00011 
    3.66393   0.99327   0.00008 
    3.66402   0.99321   0.00011 
    3.66412   0.99324   0.00011 
    3.66422   0.99348   0.00012 
    3.66431   0.99321   0.00011 
    3.66441   0.99324   0.00008 
    3.66451   0.99317   0.00009 
    3.66460   0.99335   0.00008 
    3.66470   0.99340   0.00010 
    3.66479   0.99350   0.00012 
    3.66489   0.99342   0.00011 
    3.66499   0.99335   0.00008 
    3.66508   0.99331   0.00010 
    3.66518   0.99336   0.00011 
    3.66527   0.99338   0.00012 
    3.66537   0.99333   0.00008 
    3.66547   0.99312   0.00012 
    3.66556   0.99340   0.00008 
    3.66566   0.99338   0.00008 
    3.66576   0.99321   0.00008 
    3.66585   0.99341   0.00008 
    3.66595   0.99343   0.00012 
    3.66604   0.99323   0.00011 
    3.66614   0.99327   0.00008 
    3.66624   0.99325   0.00008 
    3.66633   0.99337   0.00008 
    3.66643   0.99345   0.00011 
    3.66653   0.99319   0.00008 
    3.66662   0.99339   0.00012 
    3.66672   0.99325   0.00009 
    3.66681   0.99332   0.00012 
    3.66691   0.99318   0.00009 
    3.66701   0.99337   0.00010 
    3.66710   0.99319   0.00010 
    3.66720   0.99343   0.00011 
    3.66729   0.99330   0.00011 
    3.66739   0.99342   0.00012 
    3.66749   0.99323   0.00008 
    3.66758   0.99335   0.00012 
    3.66768   0.99316   0.00009 
    3.66778   0.99332   0.00012 
    3.66787   0.99318   0.00009 
    3.66797   0.99339   0.00010 
    3.66806   0.99320   0.00008 
    3.66816   0.99313   0.00008 
    3.66826   0.99313   0.00009 
    3.66835   0.99323   0.00008 
    3.66845   0.99311   0.00012 
    3.66855   0.99310   0.00009 
    3.66864   0.99336   0.00011 
    3.66874   0.99341   0.00012 
    3.66883   0.99325   0.00008 
    3.66893   0.99314   0.00009 
    3.66903   0.99344   0.00010 
    3.66912   0.99307   0.00008 
    3.66922   0.99324   0.00010 
    3.66931   0.99356   0.00010 
    3.66941   0.99323   0.00011 
    3.66951   0.99341   0.00009 
    3.66960   0.99312   0.00008 
    3.66970   0.99326   0.00008 
    3.66980   0.99333   0.00009 
    3.66989   0.99331   0.00008 
    3.66999   0.99317   0.00012 
    3.67008   0.99344   0.00010 
    3.67018   0.99337   0.00010 
    3.67028   0.99325   0.00011 
    3.67037   0.99319   0.00011 
    3.67047   0.99328   0.00012 
    3.67057   0.99319   0.00012 
    3.67066   0.99308   0.00008 
    3.67076   0.99322   0.00010 
    3.67085   0.99328   0.00009 
    3.67095   0.99311   0.00011 
    3.67105   0.99344   0.00009 
    3.67114   0.99336   0.00009 
    3.67124   0.99317   0.00009 
    3.67133   0.99320   0.00010 
    3.67143   0.99324   0.00012 
    3.67153   0.99329   0.00008 
    3.67162   0.99335   0.00009 
    3.67172   0.99322   0.00010 
    3.67182   0.99331   0.00010 
    3.67191   0.99321   0.00011 
    3.67201   0.99335   0.00009 
    3.67210   0.99324   0.00011 
    3.67220   0.99317   0.00010 
    3.67230   0.99325   0.00008 
    3.67239   0.99316   0.00012 
    3.67249   0.99324   0.00011 
    3.67259   0.99327   0.00008 
    3.67268   0.99304   0.00011 
    3.67278   0.99316   0.00009 
    3.67287   0.99307   0.00008 
    3.67297   0.99326   0.00010 
    3.67307   0.99322   0.00009 
    3.67316   0.99317   0.00011 
    3.67326   0.99319   0.00009 
    3.67335   0.99316   0.00011 
    3.67345   0.99314   0.00011 
    3.67355   0.99319   0.00009 
    3.67364   0.99325   0.00010 
    3.67374   0.99328   0.00011 
    3.67384   0.99298   0.00012 
    3.67393   0.99334   0.00012 
    3.67403   0.99323   0.00008 
    3.67412   0.99318   0.00011 
    3.67422   0.99319   0.00010 
    3.67432   0.99312   0.00012 
    3.67441   0.99313   0.00011 
    3.67451   0.99336   0.00012 
    3.67461   0.99326   0.00009 
    3.67470   0.99338   0.00008 
    3.67480   0.99319   0.00010 
    3.67489   0.99315   0.00012 
    3.67499   0.99315   0.00012 
    3.67509   0.99328   0.00010 
    3.67518   0.99310   0.00012 
    3.67528   0.99334   0.00008 
    3.67537   0.99330   0.00012 
    3.67547   0.99317   0.00008 
    3.67557   0.99324   0.00009 
    3.67566   0.99327   0.00012 
    3.67576   0.99340   0.00012 
    3.67586   0.99306   0.00012 
    3.67595   0.99315   0.00012 
    3.67605   0.99306   0.00012 
    3.67614   0.99321   0.00012 
    3.67624   0.99305   0.00008 
    3.67634   0.99314   0.00010 
    3.67643   0.99318   0.00011 
    3.67653   0.99318   0.00012 
    3.67663   0.99321   0.00009 
    3.67672   0.99310   0.00011 
    3.67682   0.99316   0.00011 
    3.67691   0.99307   0.00009 
    3.67701   0.99337   0.00010 
    3.67711   0.99331   0.00010 
    3.67720   0.99348   0.00010 
    3.67730   0.99303   0.00009 
    3.67739   0.99317   0.00008 
    3.67749   0.99312   0.00009 
    3.67759   0.99320   0.00009 
    3.67768   0.99322   0.00008 
    3.67778   0.99305   0.00009 
    3.67788   0.99324   0.00008 
    3.67797   0.99308   0.00008 
    3.67807   0.99310   0.00008 
    3.67816   0.99324   0.00011 
    3.67826   0.99325   0.00012 
    3.67836   0.99314   0.00012 
    3.67845   0.99326   0.00010 
    3.67855   0.99333   0.00011 
    3.67865   0.99328   0.00008 
    3.67874   0.99312   0.00010 
    3.67884   0.99311   0.00012 
    3.67893   0.99311   0.00010 
    3.67903   0.99325   0.00009 
    3.67913   0.99324   0.00012 
    3.67922   0.99307   0.00009 
    3.67932   0.99315   0.00008 
    3.67941   0.99303   0.00011 
    3.67951   0.99313   0.00008 
    3.67961   0.99311   0.00009 
    3.67970   0.99319   0.00009 
    3.67980   0.99304   0.00009 
    3.67990   0.99312   0.00010 
    3.67999   0.99317   0.00009 
    3.68009   0.99302   0.00010 
    3.68018   0.99322   0.00011 
    3.68028   0.99314   0.00009 
    3.68038   0.99315   0.00009 
    3.68047   0.99328   0.00008 
    3.68057   0.99311   0.00009 
    3.68067   0.99297   0.00012 
    3.68076   0.99318   0.00008 
    3.68086   0.99321   0.00010 
    3.68095   0.99311   0.00011 
    3.68105   0.99314   0.00010 
    3.68115   0.99300   0.00012 
    3.68124   0.99306   0.00011 
    3.68134   0.99325   0.00012 
    3.68143   0.99300   0.00009 
    3.68153   0.99317   0.00011 
    3.68163   0.99314   0.00012 
    3.68172   0.99323   0.00010 
    3.68182   0.99310   0.00012 
    3.68192   0.99319   0.00011 
    3.68201   0.99302   0.00012 
    3.68211   0.99330   0.00009 
    3.68220   0.99324   0.00008 
    3.68230   0.99314   0.00008 
    3.68240   0.99315   0.00010 
    3.68249   0.99315   0.00008 
    3.68259   0.99314   0.00008 
    3.68269   0.99331   0.00011 
    3.68278   0.99294   0.00009 
    3.68288   0.99302   0.00008 
